Title,Service,Locations,Description,Features,Awards
U.S. Bank Stadium,Architecture/Interior Design/Urban Design/Sustainable Design/Branded Experiences/LINE,Dallas/Los Angeles,"To create a stadium that connects and celebrates the people of Minnesota, offering an unparalleled fan experience inside the stadium while driving economic development in the surrounding neighborhood.
Home to the Minnesota Vikings NFL team, U.S. Bank Stadium is a multi-purpose venue known as “The People's Stadium.” HKS designed the building to reflect the culture, climate and context of the city, drawing inspiration from ice formations on nearby St. Anthony's Falls as well as Scandinavian design such as Viking longboats. The stadium provides Minneapolis with a year-round venue for concerts, baseball, high school and college athletics, conventions, festivals and more, driving economic and real estate development in the city. Two of the stadium's notable design innovations include The Legacy Gate, comprised of five, pivoting glass doors ranging from 75 to 95 feet tall, and the first ETFE roof in a U.S. stadium. When open, The Legacy Gate connects the stadium to its adjacent urban plaza. The translucent ETFE roof withstands the brutal weather of Minneapolis’ climate, while flooding the interior with natural daylight, creating the feeling of being outdoors without subjecting players or fans to the elements.
Since U.S. Bank Stadium opened in 2016, more than $2 billion in private and public investment has been injected into its surrounding neighborhood, according to Minneapolis’ East Town Business Partnership. In 2018, U.S. Bank Stadium hosted Super Bowl LII and in 2019, it will host the NCAA Final Four.","1.8 million square feet
125 suites
66,200 seats
7,500 club seats
Party plaza
Hall of Fame Museum
LEED Gold certified","2018 American Public Works Association Project of the Year Award
2018 Minnesota Meetings + Events Magazine Readers’ Choice Award, Best Sports Venue
2018 American Institute of Steel Construction IDEAS2 Over $75M Merit Award
2018 Los Angeles Business Council Los Angeles Architecture Award, Beyond LA Category
Sports)
2017 Stadium Business Awards, The David Vickers Award
2017 Athletic Business Facilities of Merit
2017 ACE Alpha Awards, Architect Award for Best Infrastructure\t"
St. Jude Children’s Research Hospital Master Site &amp; Facilities Plan,Urban Design/Architecture/Advisory Services,Dallas/New York,"St. Jude sought to create an unparalleled health care campus where children and their families can be comfortable and safe. HKS designers were challenged to maintain a feeling of intimate care and safety on campus as growth occurs and density increases.
We created a plan that manages growth for the campus over the next 10 years, including an additional 3 million square feet of research, clinical and administration space. The plan organizes the site to improve circulation, wayfinding and the overall experience of the campus. HKS worked with St. Jude's leadership to develop a campus vision that connects existing buildings and accommodates significant growth. Sheltered walks reach from one end of the campus to the other. The program features expanded health care services, patient and family housing, research labs, philanthropy facilities and administrative space as well as a visitor center. The plan also considers how to better connect the existing campus with downtown Memphis to support community revitalization and growth.
In the plan, pedestrians take priority. Families and children no longer walk across parking lots to get to medical services. Cars and service vehicles have limited travel lanes as well as better parking and routes that are separated from pedestrian areas. The next generation of buildings are planned to fill in areas of the campus. The result is a unified composition that redefines the open space system and strengthens the campus identity.",,
Rice University Brian Patterson Sports Performance Center,Architecture/Branded Experiences/Interior Design,Dallas/Houston,"HKS was tasked with designing a sports performance center in the north end zone of Rice Stadium that will allow the university to remain a preferred venue for college football and to attract and train top-tier talent.
HKS worked with our partners, Jackson &#038; Ryan, to design a two-story end zone building, including environmental graphics and a new LED scoreboard. In a nod to the elegant lines of the stadium, white columns support the building&#8217;s winged roof, an homage to the school's mascot, the owl. The winged roof projects over an expansive glass wall, providing natural light and a view from the two-story weight room to the stadium and the field. The building features football team locker rooms, strength and conditioning rooms, a 150-seat auditorium and coaches’ offices.
The project has been a tremendous success to the football program for recruiting and player development. According to Coach David Bailiff, the new building has “created a sense of good mental health.” Designed with the needs of students in mind, the enhanced sports medicine and training areas are key to keeping student athletes healthy.","60,000 square feet
Team locker rooms
Strength and conditioning areas
Training facilities
Team meeting rooms
Coaches offices","2017 Houston Business Journal, Landmark Awards"
McKay-Dee Hospital Center,Architecture/Structural Engineering/Interior Design/Sustainable Design/Advisory Services,Dallas/Denver/Salt Lake City,"To design a hospital that is prepared for growth while incorporating the surrounding environment as a healing element.
Buildings were organized to allow for independent growth of each of the three major components: the inpatient care tower, the ancillary services building and the physicians’ office environment. HKS designers planned the facility horizontally by clinical specialty for clear patient wayfinding and convenient physician circulation. Windows provide views to the mountains and gardens. Most waiting areas open onto the atrium creating a relaxed uplifting environment and giving family members a choice to move about without becoming disoriented.
Working in conjunction with our partners, Architectural Design West, we provided opportunity for immediate incremental growth for high-volume departments such as emergency, obstetrics and heart services. We also designed the building so that it allows for imaging, surgery and the laboratory to double in size with minimum disturbance.
McKay-Dee has been cited among the 10 most beautiful health care environments in the U.S. Its immediate success in the early 2000s is complemented by subsequent growth to expand physician office space by 50 percent and increase in beds by 15 percent.","705,000 square feet
60-acre site
296 beds
120,000 square feet of medical offices",
True Worth Place,Architecture/Interior Design,Dallas/Fort Worth,"To design a community center that embodies True Worth Place's mission to empower the disenfranchised and restore their hope and dignity. A model for future facilities, the center welcomes those in need in an environment featuring unexpectedly warm and thoughtful amenities.
True Worth Place represents a new approach to supporting the homeless. The environment feels more like a hotel or health club, with a central two-story hearth surrounded by club chairs and an exposed wood ceiling. The homeless can eat, take cooking classes, check e-mail or apply for jobs online, receive mail, shower, do laundry, charge electronics, take classes and even access health care in a single facility.
Several interior glass walls provide a sense of safety and openness through clear sight lines, while filling the space with daylight. The site features a community courtyard and outdoor dining on a roof deck with a beautiful view of Fort Worth. An industrial-grade kitchen provides 200 meals each at breakfast and lunch every day.
True Worth Place served nearly 5,000 people in its first year — or nearly all the people who experienced homelessness in Tarrant County.","Health clinic
Dental clinic
Showers
Lockers
Mail room
Rooftop deck
Industrial kitchen
Technology center classrooms","2018 Social Innovation Award (Healthcare Environment Award)
2018 Merit Award, AIA Fort Worth
2018 Design Excellence Award, Healthcare Large Category"
Carl R Darnall Army Medical Center Replacement Hospital,Architecture/Interior Design/Sustainable Design/Advisory Services,Dallas/Fort Worth,"After opening in 1965, a mid-2000s expansion of the original Carl R Darnall Army Medical Center attempted to satisfy modern health care but the project was riddled with compromises that created a disjointed experience. The army required a brand-new facility with expanded services that would meet the Department of Defense's standards for care at the largest U.S. military base in the world.
Circulation is a central design theme, with a concourse running the length of the facility that provides a clear, orienting element. The functional groupings of services are efficiently organized into “portals of care” that maximize patient-centered care. The exterior design is simple and appealing – promoting efficiency and establishing a desirable healing environment. Texas limestone and precast insulated panels incorporating thin brick provide a cost-effective and appealing façade. External sunshades and high-performance glazing maximize daylighting while minimizing glare, internal heat load and artificial lighting. The design-build team fast tracked design for efficient procurements by working in a highly integrated manner. Off-site manufacturing of modularized, pre-assembled engineering systems was utilized to include RFID tagging for constant monitoring and just-in-time delivery to the construction site. The LEED Gold certified facility also meets the low impact design requirements of the Energy Independence and Security Act, and features a 100 percent outside-air mechanical system, high-performance building envelope and rooftop gardens. Construction used recycled materials for more than 30 percent of the project, and local materials for 57 percent.
HKS designed the $534 million medical center to reinforce and promote the mission of Fort Hood medical care by providing world-class health care within a modern healing environment. The hospital demonstrates Fort Hood pride by reflecting local geographical features such as topography, natural materials, rock formations, plateaus and ridges, wetlands and lakes, vegetation and wooded areas. The 615,000-square-foot, 6-story, 122-bed hospital includes an emergency department, diagnostic imaging and surgical services for trauma, general surgery, orthopedic and cesarean sections. Inpatient care includes medical/surgical, ICU, psychiatric care, women's labor, delivery and care, post-partum and a NICU. The 322,000-square-foot, 3-story clinic services building contains primary care, orthopedics, disability evaluation and surgery, rehabilitation, women's services, emergency medicine and behavioral health.","72-acre site
322,000-square-foot clinic services building
23,000-square-foot central utility plant
Three parking garages totaling more than 1 million square feet
Parking for 5,200 cars
Logistics building
LEED Gold certification",2018 Practice Greenhealth Top 25 Environments Excellence Award
JW Marriott Austin,Architecture/Sustainable Design,Dallas,"To craft an authentic experience that embodies Austin's  spirit and eclectic nature, reinterpreted in a modern and vibrant way. Designers looked to harness the city's energy and strong sense of community to offer guests and locals alike a place to connect and socialize.
The building's exterior brings natural elements from the surrounding rugged Austin landscape into the urban environment in a composition of rich building materials that contrast the typical commercial architecture surrounding the site. Texas limestone, weathered materials such as copper and zinc from the indigenous Texas landscape, links the hotel to Austin's natural beauty.
The JW Marriott offers visitors a true luxury destination, ideally situated within walking distance of the Austin Convention Center, while giving locals and visitors a common playground that unifies Austin's diverse population. One such place is the JW's roof-top pool and bar, with its dramatic city skyline views to the Colorado River and state capitol dome at the end of Congress Avenue.
With a distinct and bold architectural expression, this urban resort highlights the unique character and culture of a special city. Deep thought and attention went into designing the three primary streets intersecting the site to activate the hotel's street edge, creating a warm and welcome feel for guests and locals who live and work downtown. Austin's food truck culture inspired one such street corner: the hotel's Burger Bar transforms how locals engage with the area on a daily basis, and the outdoor Corner Bar creates an energetic outdoor experience that is welcoming for both hotel guests and locals.
Designed to be much more than just an urban convention hotel, the JW Marriott Austin has become a gathering place, reinforcing the city's urban edge while connecting with local residents and visitors alike. Unique architectural facades and active street-level programming strengthen the livability and walkability of the neighborhood.","1,012 luxury guest rooms and suites
110,000 square feet of flexible meeting space
Roof-top terrace with infinity pool
Spa and fitness center
Grab & Go Burger Bar
Street retail
Below-grade parking
Two full-service food and beverage venues
Lobby lounge and bar
Two-star Austin Energy Green Building Rating
LEED Silver certification",2016 Texas Society of Architects Design Award
DM Aster Med City,Architecture/Interior Design/Urban Design,New Delhi/Dallas/Singapore,"In a region already recognized worldwide as a destination for Ayurvedic wellness, how might a new urban complex located on a tranquil backwater push innovation in health forward, while maintaining a holistic philosophy?
More than a hospital, DM Aster MedCity is an entire urban development dedicated to healing. The plan, inspired by the nesting behaviors of the local Brahminy Kite, resembles a family of birds settled along the banks of the Kochi backwaters. Built on a 38-acre property, the 600,000 square foot, eight-story medical building is strategically situated to provide optimal views and offer opportunities for vertical and horizontal expansion. Three inpatient bed towers are united by a central atrium at the base of the building, which is surrounded by pedestrian circulation paths that take the healing experience outdoors. In addition to patient care, MedCity also includes a 4-star hotel and serviced apartments, a 500-seat convention center, retail, staff accommodations and high-end residential units to create a sustainable and active community for some 10,000 residents. HKS collaborated on this project with Design Relations in Kochi.
Since opening in May 2015, DM Aster Med City has provided a sustainable model for impacting medical research in the country and beyond, and is equipped to offer the best medical services in India to patients with advanced diseases. The high-level of care helps the facility attract doctors and patients from around the world. The project is seeking LEED Gold certification","500-bed hospital, expandable to 1,000 in Phase 2
500-seat convention center
Outpatient care clinic
Seeking Joint Commission International accreditation
Seeking LEED Gold certification",
Naval Hospital at Marine Corps Base Camp Pendleton,Architecture/Interior Design/Sustainable Design/Advisory Services/Alternative Project Delivery,Los Angeles/Dallas/San Diego,"To replace an important existing military health care campus within the confines of a greatly compressed construction schedule.
Situated on a 70-acre site near the south entrance to the Marine Corps Base Camp Pendleton, the hospital was the largest American Recovery and Reinvestment Act of 2009 project awarded in the Department of Navy. To meet ARRA requirements, HKS designers and the rest of the building team compressed the project schedule from the typical five- to seven-year time frame to just 40 months. 
The team managed to surpass even that high-pressure deadline, completing the project in 34 months by implementing a phased-design approach, working with Navy personnel to identify critical path activities available for early starts, and eventually dividing the project into six design packages.
The team delivered the project six months ahead of schedule and more than $100 million under budget.","1 million square foot healthcare campus
500,000 square foot hospital
54 patient rooms (up to 60 beds)
Green roofs
Healing gardens
LEED Gold certified","2014 AGC Build America Marvin M. Black Excellence in Partnering Award, Best New Building Project
2014 Engineering News-Record, Best of the Best in Healthcare
2014 Building Design+Construction, Building Teams Award, Platinum
2014 Design-Build Institute of America, Western Pacific Region, Project of the Year/Best in Show
2013 Design-Build Institute of America, Western Pacific Region, Distinction Award"
University of Texas at Dallas Live Learn Community,Architecture/Interior Design/Sustainable Design/Urban Design/Mixed-Use,Dallas/Miami,"The University of Texas at Dallas challenged HKS to design a new residential hall as part of a multi-phase north campus residential community to help handle growing enrollment. In addition to new student apartments, the university wanted to create unity and connection between previously separate residential spaces and new amenities.
The design of the Phase IV residence repeats the language of its predecessors, en-suring continuity and familiarity. Parity between residence halls was an important consideration to maintain consistency in student housing costs and expectations. Students can study or socialize in common learning spaces, where they can “see and be seen.&#8221; A recreation and athletic facility, open to the entire north campus community, serves as a hub for campus life. The design features two, five-story housing wings linked to a circular, two-story common area with a 30,000-square-foot, 800-seat central dining facility on the first floor and a 25,000-square-foot recreation and fitness area on the second floor. The project achieved LEED Silver certification.
A greater density of apartments allows for greater efficiency and encourages community-building among the university's more than 800 students, for whom proximity to accessible dining and recreation facilities is a key part of the live-learn philosophy.","600-bed student housing
30,000 square-foot, 800-seat dining hall
25,000 square-foot recreation center
750-car parking garage
Outdoor recreational facilities
Enhanced pedestrian walkways and plaza spaces
Multipurpose space
Snack bar
Study areas
Gaming area
Laundry
LEED Silver certification",
Aiyuhua Hospital for Children and Women,Architecture/Interior Design/Urban Design,Dallas/Singapore/Shanghai,"To collaborate on a high-end health care experience in service of holistic patient wellness for women and children.
While many hospitals in China have low-end interior finishes that require frequent renovation, HKS designers, along with Children's Hospital of Philadelphia and China IPPR Engineering Corporation, answered the client's call for a high-end look and installed quality finishes that will last longer and serve the mission of family-centered care. Lounge sofas convert to beds for family members to stay overnight. VIP suites are high-end hotel quality, with sophisticated but durable finishes.
The design blends health care concepts from the West with the rich history and character of the Chinese culture, with its colorful and vivid exterior and symbolic and meaningful interior design.
The facility is the first privately-funded hospital in Beijing and features clinics that can serve 1,200 outpatients daily. The hospital has received accreditation from the Joint Commission International.","786,000 square feet
310 beds
230 pediatric inpatient beds
45 maternity monthly stay beds
25 post-partum beds",
Ananda in the Sahyadris,Architecture,Dallas/New Delhi,"To create a seamless transition between the natural beauty of the exteriors and the elegance of the interior spaces, while preserving a largely forested site with more than 8,000 valuable trees.
The resort consists of more than 60 buildings that have been carefully located to preserve the existing vegetation. Less than 10 trees were sacrificed during construction, which is expected to wrap in 2020. A 30,000 square foot spa and wellness center at the heart of the estate functions as an anchor for the surrounding accommodations. Wide courtyards, shaded walkways, open verandas and spacious decks connect guests to the exquisite, verdant landscape.
Through careful orientation, buildings rely on natural ventilation without the need for air-conditioning throughout the day, and they conserve water by harvesting and storing rainwater during monsoon season for irrigation during more arid parts of the year. The resort's harvested rainwater will also replenish the wells of neighboring villages, providing locals with an abundant water supply.","400 acres
20 individual villa suites
50 branded residences
65-key hotel
30,000 square foot spa and wellness center",
BBVA Compass Plaza,Architecture/Sustainable Design,Houston/Dallas,"Design the new base of operations for BBVA Compass Bank in the United States to reflect the bank's spirit of simplicity, transparency and collaboration.
HKS designed the tower to complement Houston's Uptown neighborhood and enable BBVA Compass to consolidate its workforce and regional executive team. The tower utilizes elements such as signature metal archways, the elevated terrace and the floating glass box above it to create a memorable visual experience.
Vertical fins animate the east and south façade to enhance the building's image. A carefully articulated façade breaks up its mass and screens a seven-level parking garage.
The first of a new generation of office buildings in the area when it was completed in 2013, BBVA attracted a host of high-caliber tenants and eventually sold the building for a record price. Construction waste was recycled where possible to reduce environmental impact and the building achieved LEED Gold Certification.","22-story office building
323,943 square feet
Energy efficient HVAC system
Seven-level parking garage with 1,395 parking spots
Two upscale restaurants
Floor-to-ceiling windows
LEED Gold certified","2013 Houston Business Journal, Landmark Award Winner"
Kay Bailey Hutchison Dallas Convention Center,Architecture/Interior Design/Branded Experiences/Sustainable Design,Dallas,"To add 475,000 square feet of convention center space over active rail and commuter lines.
Working with design architects Skidmore, Owens &#038; Merril, HKS added 475,000 square feet to the sprawling Kay Bailey Hutchison Convention Center in downtown Dallas. The expansion unifies multiple previous add-ons and creates a new dramatic arrival/entry and pre-function space fronting a historic park. Two sets of arched steel trusses on the roof provide a distinctive new profile on the city skyline. They also provide support and suspension for the new 203,000-square-foot Exhibit Hall F.
Now that the Kay Bailey Hutchison Convention Center has more than 1 million square feet, the facility can accommodate events it couldn’t before, increasing its ability to draw more visitors to contribute to the local economy. With 40-foot ceilings, Hall F is the largest column-free singular exhibit hall in the world, helping Dallas land large conventions, rallies and other large national and international events.","55,000 square foot pre-function lobby A/B
44,000 square foot pre-function lobby F
27,500 square foot loading dock with 10 truck berths
21,000 square foot front entry lobby","2004 Dallas Business Journal, Topping Out Award
2003 Texas Society of Architects, Design Award
2003 American Institute of Steel Construction, Award of Merit $100 million or greater"
Instituto de Diagnóstico y Referencia Epidemiológicos (InDRE) Infectious Disease Laboratories,Architecture/Interior Design,Dallas/Mexico City,"Tasked with studying the treatment of infectious diseases, the researchers of Mexico's Instituto de Diagnostico y Referencia Epidemiologicos needed a new space to collaborate with local and international officials. As the organization evolved to meet changing research needs and accelerating technology, they outgrew traditional biosecurity standards and the HKS team was asked to design a building that provides a highly-controlled environment that meets strict international regulations.
Situated on a landscaped central plaza and connected to the rest of the campus via a covered walkway, the laboratory building creates a new focal point for researchers and visitors alike. With a glass curtain wall façade clad by a corten steel screen, this six-story, 183,000 square foot building houses Mexico's Center for Disease Control, multiple labs for the containment and study of infectious diseases and a vivarium facility. United by a multistory atrium, all components of this high-security facility were designed to the most stringent international standards for biosafety. With a mission in service of public health, the building incorporates sustainability strategies to promote ecological consciousness among users.
The Infectious Disease Laboratories is part of a master plan for the new facilities at the Instituto de Diagnostico y Referencia Epidemiologicos (InDRE). It houses Mexico's Center for Disease Control laboratories and belongs to a worldwide network of labs, including the U.S. Center for Disease Control. The secure environment of laboratories provides a unique and vital setting for researchers to collaborate with other public health officials and government agencies under one roof. Together, they share resources, monitor disease outbreaks and identify treatment strategies to serve and protect the safety of the public across Mexico and beyond.",,
Urumqi International Airport North Terminal,Architecture,Dallas/Shanghai,"This international airport is situated at the historical crossroads of East and West, both physically and conceptually. Design competitors were challenged to incorporate the intertwined cultures and histories of China's centuries-old Silk Road region into an airport for the new millennium.
Created with Pascall+Watson, this concept for a 4.3 million square foot airport terminal draws upon influences from the cultures, history and topography of central Asia and China's Silk Road. The Silk Road, a 4,000-mile network of interlinking trade routes forming an historical connection and continuous journey between Asia and Europe, is an appropriate precedent for the creation of a new world hub airport. The region's rugged mountains and desert dunes come to life in the terminal's undulating form, while patterns, colors and textures of traditional silks and other textiles are reflected in the building materials and suggest the movement of fabric in the wind. The architectural expression of these inspirational elements, combined with the efficiency, flexibility, connectivity and high quality passenger service of a modern airport terminal, create a new architectural gateway for Urumqi's “continuous journey” into the future.
Urumqi International Airport serves not only as a gateway between East and West, but as a sign of Xinjiang's ongoing significance in the economic and social landscape of modern China. In the context of the world's great airports, Urumqi's aspiration to grow this new development up to 44 million passengers per year or more heralds the region's growing presence on the world stage.","International design competition
4,300,000 square foot terminal
800,000 square foot intermodal transportation center
26 million passengers per year
84 aircraft stands
2,789 linear foot baggage claim area
2,272 parking spaces",
Texas A&amp;M University Blue Bell Park,Architecture/Branded Experiences/Interior Design,Dallas,"To combine the historic character and detailing from the center of the Texas A&amp;M University campus with the tradition and nostalgia of Aggie baseball.
Our design team studied the rich history of Texas A&amp;M and Aggie baseball to inspire the design of Blue Bell Park's renovations, and the new ballpark is deeply rooted in the fabric of the campus’ early 20th century architecture. The 126,000 square feet of renovations include wider concourses, new restrooms, new concessions, a new team store and a new exterior façade. Players will have a new weight room, hydrotherapy room, training room, bullpens, locker rooms and team lounge. Coaches are receiving new offices and a separate locker room. Additional new seating environments have also been incorporated, including new press box level suites as well as club seats, scout seats and loge boxes that all directly connect to a premium club, with additional seats for fans with special needs.
The expansion helps Blue Bell Park create excitement and nostalgia. It is a major-league-quality facility with a hospitality-grade environment that shows Texas A&amp;M University is committed to providing student athletes with the best tools available to achieve present and future success.",,
Arc Light Co. Apartments,Mixed-Use/Architecture,San Francisco/Los Angeles/Dallas/Houston,"Arc Light Co. originally served as the historic California Electric Light Company, Station B. To transform an underutilized and distressed historic site into residential units, the HKS design team was charged with adding four additional stories of new construction to the existing historic brick expression in a way that revitalized the site but didn’t overpower the existing structure.
The design melds old and new in a clean, modern glass expression that respectfully contrasts the existing brickwork, gabled front and masonry walls, while keeping the industrial feel of the former electric company warehouse. The street façade of the live/work units on the ground floor and main entrance with large glass openings that carry the glass expression down from above further integrates the buildings’ historic elements with the contemporary look that feels completely at home in San Francisco's South End Historic District. Amenities include a north- and south-facing roof deck with a custom spa, grilling area and fitness center, pet-friendly interior courtyards, enclosed garage parking and a two-story restaurant located within the restored historic brick-lined interior.
Arc Light Co. was the first residential building in San Francisco to receive LEED for Homes Mid-Rise Gold Certification, as well as LEED Platinum (LEED BD+C: Homes (v2008). It also participated in the California Multifamily New Homes Program, the Go Solar SF Program and the New Solar Homes Program.","94 residential units (a mix of lofts, studios and one- and two-bedroom market-rate apartments)
Restaurant
Roof deck with Bay Bridge views
Fitness center
Parking garage
Solar PV systems
Energy-efficient appliances
Locally produced, energy-efficient glass
Insulated windows
High-efficiency water irrigation system
High-efficiency water irrigation system
Electric vehicle recharging stations
Exclusive use of City CarShare vehicles parked on the premises
LEED Platinum certified",
University of North Texas Apogee Stadium,Architecture/Branded Experiences/Interior Design/Sustainable Design,Dallas,"The University of North Texas challenged HKS to design a facility that would be the most sustainably designed stadium in the country while serving as a revenue-generating facility for its university.
Providing the entire North Texas region with a venue for a variety of outdoor events from college football to high school band competitions, the new stadium is nestled into the contoured sloping terrain. HKS designers preserved a grove of Post Oak trees and respected the natural, open character of the site. The stadium grounds have a campus feel, which was an element of the University Master Plan. A natural amphitheater and areas for tailgating, picnics and pregame festivals surround the stadium and integrate game day celebrations into the action. 
The stadium circulation follows the sloping site descending from east to west through plazas, special event areas and concourses. The stadium features state-of-the-art high-efficiency mechanical systems, water-efficient plumbing, regionally obtained materials and permeable paving. Three 150-foot tall wind turbines provide a half million kilowatt hours per year to UNT's power grid.
The $20 million, 20-year sponsorship with Apogee is the second-largest naming rights agreement for college football stadiums.
After opening in September 2011, was Apogee became the nation's first LEED Platinum certified collegiate stadium. It was also the first new collegiate venue to incorporate on-site renewable energy using wind turbine power, which will substantially offset external energy demand. The new stadium, which replaced 59-year-old Fouts Field, was designed to reduce energy consumption by more than 20 percent.
The project achieved an 80 percent reduction in landfill construction waste; 20 percent in recycled content; 45 percent in regional materials and more than 40 percent in certified wood.","29,000 seats
21 suites
750 club seats
Private club
Alumni pavilion
Team store
End zone promenade
1,200 car surface parking
LEED Platinum Certified","Renewable Energy Project of the Year, U.S. Green Building Council (USGBC) North Texas Chapter, 2013"
Salt River Fields at Talking Stick,Architecture/Branded Experiences/Interior Design/Sustainable Design/Structural Engineering/Urban Design,Dallas/Phoenix,"To create the ultimate baseball destination environment, designed to encourage unprecedented fan interactions and support the interests of the community beyond baseball.
Widely regarded as Major League Baseball's (MLB) top Spring Training facility, Salt River Fields is surrounded by some of the most beautiful mountain views in baseball. The overall site offers an immersive fan experience for fans of the Arizona Diamondbacks and the Colorado Rockies, who occupy clubhouses around the field. The design is inspired by traditional native dwellings situated around a central courtyard. Radiating from this central courtyard, support buildings, practice fields and clubhouses form an overall cohesive complex. The wall of one space becomes the boundary of a field or the edge of a path. These walls and roofs are built to reference traditional and historic native culture and life. Masonry is used to simply yet eloquently serve as a backdrop to the landscaping and playing fields. Inside the stadium, the detailing is carefully designed to reveal concessions and fan support amenities. Collectively, the walls, the openings and the pathways ultimately serve multiple purposes: to promote interaction of fans and players, to frame key views of the surrounding landscape and to encourage environmental awareness and stewardship.
The first professional sports venue built on Native American land, Salt River Fields at Talking Stick blends environmental stewardship and innovation with ancestral custom. Named the first LEED Gold certified sports venue of its kind, the stadium features stone materials from the Salt River Pima-Maricopa Indian Community lands and is surrounded by landscaped grounds that include more than 85 replanted trees and cacti. Today's spring training facilities need to be a community resource beyond just baseball, and Salt River Fields was the first to truly break the mold by incorporating successful community events outside the daily or annual MLB operations. Since opening, Salt River Fields has become a premier location for event planners and promoters including annual food and beverage events, music festivals, community festivals and local sports.",,
Phoenix Children’s Hospital,Architecture/Interior Design/Advisory Services/Structural Engineering,Dallas/Phoenix,"Recognizing that a child patient's care team consists of not only health care professionals, but also the child&#8217;s family, Phoenix Children's Hospital challenged the design team to improve the existing campus design and create a space that encourages and accommodates families, allowing them to take on more active roles.
We responded to the challenge by creating a welcoming oasis that provides shade and healing while emulating the natural beauty of the surrounding mountains and desert. The visual impact on the community is striking, creating the desired “wow-factor” for the campus while providing stunning views of the entire valley, mountains and city skyline from private patient rooms. To support the hospital's mission of treating the entire family and not just the patient, care was taken to improve the patient/family journey from the moment they step onto the campus and experience the whimsical and lush landscaping, accented by bold colors, playful sculpture and indigenous plant material. The dramatic three-story atrium welcomes visitors in a shaded glass sanctuary. The facility utilizes indigenous color, playful animal sculpture and desert flowers to organize each floor vertically. Strategic daylighting promotes calm within spaces that punctuate corridors, and create painted vistas within individual rooms. The team created thoughtful experiences and spaces around patient/family and caregiver functions, knitting them together to form a cohesive, integrated whole.
Phoenix Children's Hospital's planned addition and renovations support the mission and vision to position the facility as one of the largest pediatric campuses in the country while offering an inspiring and comforting atmosphere. Winner of a Modern Healthcare built design award, this 770,000 square foot hospital is sensitive to its harsh environment. Designers adhered to the Green Guide for Health Care and made use of 3D simulations to develop a functional tower that maximizes daylight potential, creates shading opportunities for courtyards while minimizing heat gain. Local materials and playful biophilic environmental graphics abound in a colorful celebration of nature and local culture.","770,000 square feet
11 stories
334 beds
48 PICU beds
76 NICU beds","2012 Arizona Commercial Real Estate RED Awards, Best Healthcare Project
2012 Arizona Commercial Real Estate RED Awards, Most Sustainable Project Honorable Mention
2012 Starnet Design Awards, Grand Prize – Flooring
2011 IIDA Texas/Oklahoma Chapter Design Excellence Awards, Healthcare Honorable Mention
2011 Modern Healthcare Design Awards, Citation Award"
Tah.Mah.Lah. Residence,Architecture/Sustainable Design,Dallas/San Francisco,"To design a residential home that would be 100 percent sustainable for generations to come and seamlessly integrate into its ecosystem, producing more energy than it consumes, restoring habitat, saving and repurposing water and reusing waste.
Built with reclaimed wood, glass, metal and stone and fully solar-powered, the 5,600 square-foot Tah.Mah.Lah. eliminated its own and its occupants’ total carbon footprint, including transportation. All water used at the site is recycled or repurposed and a high-efficiency irrigation system uses harvested rainwater and treated black/grey water with the help of a 50,000-gallon underground cistern. The design solution centered on all four areas of sustainable and regenerative building: energy, materials, water and habitat, delivered by a team of more than four dozen project consultants and artists, wastewater system engineers, energy specialists and wildlife biologists, collaborating in a fully integrated design process incorporating the owners’ lifestyle and green goals.
Tah.Mah.Lah. achieved USGBC LEED for Homes Platinum certification; with the homes’ innovation credits, it is the greenest custom home in the United States. It's also a demonstration project, serving as an inspiration and educational place to share knowledge and build green, helping create a market for green ideas, goods, services and jobs. Since July 2011, Tah.Mah.Lah. has hosted numerous groups and tours – Stanford University students, USGBC Greenbuild Conference tours, and Bay Area Peninsula mayors who discussed ways to create sustainable cities.",,
