Title,Location,Link,Factors,Content
Shell Woodcreek Campus Expansion,"Houston, Texas, USA",https://www.hok.com/design/service/architecture/shell-woodcreek-campus-expansion/,"LEED CERTIFICATION: LEED-NC Gold

SIZE: 200,000 sq. ft. / 61,000 sq. m.

SERVICES: Architecture
Facility Programming
Graphics
Interior Design
Landscape Architecture
Master Planning","This expansion of Shell’s Woodcreek campus in West Houston’s Energy Corridor District added space to house nearly 600 members of Shell’s Exploration and Production group.
The facility features an energy-efficient skin, high-performance glazing and energy-efficient mechanical and electrical systems. The landscape design uses native plant species, minimizing the water needed for irrigation.
This building is connected to a 30,000-square-foot amenities center that includes a gym and conference center.
The fast-track construction project was completed on time and within budget. Hines was the development manager."
Nationwide Arena,"Columbus, Ohio, USA",https://www.hok.com/design/service/architecture/nationwide-arena/,"SIZE: 18,500 seats

SERVICES: Architecture
Facility Programming
Interior Design
Master Planning

AWARDS: ESPN The Magazine - The Ultimate Arena
ESPN The Magazine - Top Ranking, Stadium Experience","Nationwide Arena is a landmark building for Columbus and a focal point for the 100-acre Arena District. 
As the centerpiece of the country’s first fully integrated mixed-use sports and entertainment district, the 18,500-seat arena is an innovative venue that provides a great game-day experience for fans. Home to the National Hockey League’s Columbus Blue Jackets, the arena also hosts a variety of entertainment events.
Recalling traditional open-air stadium design, the open concourses and lobbies give fans views of the seating bowl and the surrounding Arena District. To preserve the Arena District’s distinctive context, glass is used together with brick and steel.
The seating bowl offers unique sponsorship opportunities for the NHL’s Blue Jackets by introducing two 80-foot-high “media” towers sponsored by Fox Sports and 
The Columbus Dispatch
. The towers are made up of four levels of vertically stacked party suites for dedicated Blue Jackets fans.
Other innovative premium seating concepts developed by HOK include club-level terrace tables with bar-style seating, in-seat services and personal flat screen TVs. Fifty-four suites are intermixed with 26 loge boxes along with 500 rink-side lounge seats. Since the opening of Nationwide Arena, most NHL and NBA arenas have incorporated loge boxes and terrace tables.
The arena features an attached, full-sized ice sheet called OhioHealth Ice Haus that is used as the team’s practice facility and for community skating and special events.
HOK worked with Nationwide Realty Investors (NRI) to lead the design of the 
Nationwide Arena District
, and partnered with NBBJ on the design of the arena."
Stockton Arena ,"Stockton, California, USA",https://www.hok.com/design/service/architecture/stockton-arena-/,"SIZE: 8,600-﻿12,000 seats
247,000 sq. ft. / 22,950 sq. m.

SERVICES: Architecture
Facility Programming
Interior Design
Master Planning

AWARDS: McGraw-Hill Construction -﻿ Best Civic Building, Northern California","With its dramatic facade, the multi-use Stockton Arena set an architectural standard for mid-sized arenas in the US.
As a new architectural icon for downtown Stockton, the multipurpose sports and entertainment venue accommodates a wide range of events while defining the city’s waterfront redevelopment program.
HOK’s master plan for the 24-acre redevelopment includes the arena, Stockton Ballpark, the Sheraton Stockton at Regent Pointe Hotel, retail space and parking. The city of Stockton financed the project to redevelop a former industrial site on the western edge of downtown along the San Joaquin River Delta Waterway.
Design elements and building materials respect the community’s nautical, agricultural and industrial heritage. With views toward downtown and the site’s proximity to the historic waterfront and public park areas, the design team created strong visual connections between the arena and its surroundings. The generous use of glazing exposes a tensile fabric used to cast light or images from floor-to-ceiling that can be seen from a distance. The transparent facade, together with the sweeping wood-clad and metal forms, creates a warm, inviting facility.
Amenities include 344 club seats, a 5,000-sq.-ft. multipurpose room and a team store. Suspended over the lower seating bowl from the roof trusses, 24 luxury “gondola suites” position patrons closer to the action. Club seats on the south side of the bowl have access to an outdoor terrace with extensive views of the water, downtown and adjacent ballpark.
HOK designed the bowl and support spaces to accommodate indoor sports of all types, including hockey, football, soccer and basketball. The bowl also supports end-stage configurations for concerts. A dividable, 5,000-sq.-ft. multipurpose meeting and banquet room that is serviced from the lofty main lobby foyer provides an additional revenue source for the facility."
Basra Sports City,"Basra, Iraq",https://www.hok.com/design/service/architecture/basrah-sports-city/,"SIZE: 2.77 million sq. ft. / 257,340 sq. m.
Main stadium: 65,000 seats
Secondary stadium: 10,000 seats

SERVICES: Architecture
Facility Programming
Graphic Design
Interior Design
Landscape Architecture
Master Planning

AWARDS: Innovate: Integrate Exhibit, AIA New York Chapter - Innovative Curtain - Wall Design","Basra Sports City is the largest sports facility in Iraq and features one of the country’s largest stadiums.
The complex includes a 65,000-seat soccer stadium surrounded by a manmade lake in the shape of Iraq. The site also features a 10,000-seat secondary stadium, four training soccer fields, team housing facilities, a VIP guesthouse and associated infrastructure buildings.
The selection of Iraq to host the 2013 Gulf Cup of Nations, a biennial soccer tournament for Arab countries, drove the development of the project, which is located outside the southern port city of Basra. Iraq’s Ministry of Youth and Sport wanted this project to spur growth and development in the area while introducing Iraqi athletes to the world stage.
The design of the marquee venue reflects local architectural influences, recalling a proud past while serving as a bridge to a modern era. Inspiration for the main stadium design came from Basra’s timeless and essential icons, from the date palm tree to traditional woven goods. Paying homage to the patterned facades of traditional Iraqi homes, the textured skin also provides a functional response to the local climate.
More than 480,000 square feet of synthetic cladding encases the stadium, forming large panels that interweave with steel columns. The external wrap and roof sheets are supported by a massive steel structure weighing 19,000 tons.
By integrating graceful yet strong forms and surfaces, the architecture expresses the speed, power and perpetual movement of soccer.
The main contractor was Iraqi company Abdullah Al-Jiburi. HOK teamed with this contractor and associate architect/engineer RMC-Partners to deliver the project under a design-build contract. Use of 3D modeling, animation and web meeting technologies helped the multinational team work efficiently while overcoming geographic and language barriers. Additional engineering and design consultants included Thornton Tomasetti, WSP Group, Langan Engineering, Lloyd Engineering, WJHW and Cini-Little."
University of Washington Husky Stadium ,"Seattle, Washington, USA",https://www.hok.com/design/service/architecture/university-of-washington-husky-stadium-renovation-and-expansion/,"LEED CERTIFICATION: LEED-NC Silver

SIZE: 72,000 seats

SERVICES: Architecture
Facility Programming
Graphics
Interior Design
Landscape Architecture

AWARDS: National Association of Collegiate Directors of Athletics and USG Corporation - Sustainability Award
Masonry Institute of Washington - Excellence in Masonry Awards","The renovation to Husky Stadium creates one of the country’s best settings for college football.
The rebuilt stadium helps the university recruit student athletes, provides a home-field advantage and enhances the fan experience.
HOK’s design preserves the history of the 1920 stadium and its sweeping views of Lake Washington and the Cascade Mountains while transforming it into a state-of-the-art venue.
Complete demolition and reconstruction of the lower bowl and south-side stands brings fans closer to the action. By preserving the building’s iconic metal roofs, the design ensures that the stadium remains one of the nation’s loudest.
New concessions, restrooms, lobby space, high-resolution video boards and premium seating options enhance the game-day experience for fans. Premium seating includes six suites and 60 club seats on the field level and 2,500 club seats, 30 suites and 30 loge boxes on a dedicated club level.
A new football operations building within the west stands connects a new, tight and unified seating bowl to the field and provides state-of-the-art facilities for players, coaches and staff. The building includes home-team lockers, weight and training rooms, a recruiting lounge, coaches’ offices, team meeting rooms and support spaces.
In addition to responding to constraints created by the stadium’s urban, lakeside site, the design creates connectivity with the new Sound Transit station southeast of the stadium. A 200-stall parking garage was constructed beneath the south bowl and stands.
A retail component and the University of Washington Sports Medicine Center promote year-round activity within the stadium.
The 
University of Washington
 noted that the LEED Silver certified stadium “represents the future of sustainability in sports facilities. The project’s approach to sustainability looked past the basics of water and energy conservation to enhance infrastructure, reduce the building’s impact on the surrounding environment and provide a platform that has allowed UW to promote sustainability to its stakeholders, students, and fans. … The project team identified and implemented strategies to maintain and reuse the shrubs and trees on site, protecting the buffer zone between the stadium and the wetlands. The project has also received Salmon Safe Certification through the Pacific Rivers Council, recognizing UW for its transformative land management practices, including pollution capture, stormwater capture and cleansing, construction activity pollution reduction strategies, and maintaining a green infrastructure buffer. All these strategies focus on protecting the vital waterways that are used by fishes of the Northwest.”"
AUM Wellness Center,"Montgomery, Alabama, USA",https://www.hok.com/design/service/architecture/auburn-university-at-montgomery-wellness-center/,"LEED CERTIFICATION: LEED certification anticipated

SIZE: 70,000 sq. ft. / 6,500 sq. m.

SERVICES: Architecture
Graphics
Facility Programming
Interior Design
Master Planning

AWARDS: AIA Alabama - Merit Award
AIA Montgomery﻿ - Merit Award
Athletic Business - Facility of Merit Award Winner","A new Wellness Center on the AUM campus enhances the student life experience with fitness options for all levels of users.
Reflecting the energy and movement of exercise, the facility’s innovative “stretch and bend” design concept creates a dynamic gathering place for students to exercise and socialize. The building’s striking glazed facade, reflecting pool and orientation create a dramatic campus entrance.
Fitness “neighborhoods” add intimacy to the large facility and help all types of users find a place where they feel comfortable. The design provides special areas for quiet study or impromptu gatherings.﻿
Warm wood tones, natural light and high-impact environmental graphics contribute to the creation of a welcoming environment that supports health and wellness.﻿
State-of-the-art fitness amenities include a gymnasium, elevated running track, rock climbing wall, cardio and weight training spaces, and group fitness studios. The indoor natatorium opens to an outdoor garden and patio that create connectivity with the rest of the campus. Classrooms, multipurpose spaces, faculty offices and two human performance laboratories for physiological research support Auburn’s holistic approach to wellness.
Targeting LEED certification, the facility features bioswales and a reflecting pool that capture rainwater for the surrounding landscape. Great care was given to preserve the natural setting, which includes a 100-year-old oak tree and other mature trees. The use of sustainably harvested wood for the structure, roll-up doors for additional ventilation and ample daylighting contribute to the health of the interior environment.
HOK designed the project in collaboration with Infinity Architecture."
Plaza Vista Mixed-Use Development ,"Kansas City, Missouri, USA",https://www.hok.com/design/service/architecture/plaza-vista-mixed-use-development-/,"LEED CERTIFICATION: LEED certified

SIZE: Plaza Vista: 286,460 sq. ft. / 26,570 sq. m.﻿
Polsinelli office space: 225,000 sq. ft. / 20,900 sq. m.
950-car, 6-level parking garage

SERVICES: Architecture
Facility Programming
Graphics
Interior Design
Master Planning

AWARDS: em>Kansas City Business Journal - Capstone Award Winner - Mixed Use
Urban Land Institute Kansas City - Developments of Distinction Award
Precast/Prestressed Concrete Institute - Best Office Building
Economic Development Council of Kansas City -﻿ Cornerstone Award","HOK’s design team collaborated with Polsinelli, JE Dunn Construction and Plaza Vista developer VanTrust Real Estate to deliver an iconic building that celebrates a world-class law firm. 
The team’s challenge was to redesign a partially constructed mixed-use development on the Country Club Plaza for Polsinelli, the new anchor tenant. The building needed to support Polsinelli’s business needs and culture while creating a valuable asset for VanTrust Real Estate and a mixed-use amenity for the community.
The design team’s plan maximizes reuse of the existing construction while creating a new building orientation. The outward-facing orientation acknowledges the prominence of this location and connects it to the Plaza.
To reduce the building’s visual scale while accommodating Polsinelli’s program needs, the massing appears as separate precast and glass elements connected by a central glass link. By sliding the northern building wing to the east and the southern building wing to the west, the team designed an H-shaped footprint that provides outdoor spaces at entries while maximizing the number of offices along windows. The building’s vertical proportions and distinct precast texture pay homage to the adjacent Plaza architecture. 
A seven-story cantilevered stairwell that winds through the center of the building like a sculptural wood ribbon creates visual and physical connectivity. HOK’s space plan provides strategic adjacencies that optimize operational efficiencies and gives Polsinelli flexibility to reconfigure its space over its 20-year lease.
Combined with ground-floor retail spaces and the adjacent Hotel Sorella, the addition of Polsinelli’s 450 employees has brought increased activity and vitality to the west side of the Country Club Plaza."
The St. Regis Hotel and Residences Bangkok,"Bangkok, Thailand",https://www.hok.com/design/service/architecture/the-st-regis-hotel-and-residences-bangkok/,"SIZE: 227 guest rooms
53 condominiums

SERVICES: Architecture
Interior Design

AWARDS: Global Business Travel Association - Project Icarus Supplier Gold Medal
Conde Nast Traveller - Hot List","HOK provided architecture and interior design for the first 
St. Regis hotel in Thailand.
The 47-story tower is located in the heart of Bangkok on the prestigious Rajadamri Road. The five-star St. Regis Bangkok features 227 guest rooms including 51 suites in addition to 53 private condominiums.
Positioning a residential tower on floors 25-45 above a luxury hotel on floors 12-24 presented several planning challenges, including the need to accommodate multiple cores, vertical circulation systems and parking on floors 2-10.
From the lavish entry lobby on the ground floor, guests use an elevator reserved for the hotel’s use to go check in on the building’s 12th floor. A dramatic, two-story elliptical stair, with an 18-foot glass-and-metal chandelier inspired by the lotus flower, extends the opulent residential motif and creates a link to the 14th-floor banquet and conference spaces.
HOK’s plan ensures that most guest rooms and suites face west and north so visitors can enjoy panoramic city views through floor-to-ceiling windows. Furniture and fixtures possess the classic, contemporary silhouettes associated with St. Regis’ luxury brand. By infusing bold tones into the sleek neutral color palette, the interiors communicate Bangkok’s inherent energy.
HOK provided interior design services for the hotel rooms, lobby, lift lobby, St. Regis Bar, Decanter Restaurant, luxury Elemis Spa, residences, and associated residence club facilities including a foyer, spa, restaurant and bar."
Advocate Center Chicago Bulls Practice Facility,"Chicago, Illinois, USA",https://www.hok.com/design/service/architecture/advocate-center-chicago-bulls-practice-facility/,"SIZE: 60,000 sq. ft. / 5,575 sq. m.

SERVICES: Architecture
Facility Programming
Graphics
Interior Design","The Advocate Center provides the players of the National Basketball Association’s Chicago Bulls with premier facilities for conditioning, practice and rehabilitation.
The Bulls’ new practice facility is adjacent to their home arena, the United Center on Chicago’s West Side.
HOK designed the Advocate Center to provide a seamless transition as the players move between training, fitness, therapy and nutrition.
The main level houses two full-size basketball courts, expanded locker rooms with hydrotherapy pools, a video room, coaches’ offices, a weight room, a media room and, in the players’ lounge, the first NBA-installed Gatorade Sports Fuel Bar. The second floor contains a green roof terrace, executive offices, conference rooms and a cardio room.
One of the building’s distinct features is the integration of glazing and natural light. As people move from the entry up toward the roofline, glazing becomes increasingly transparent, drawing in natural light while providing privacy where needed.
The facility has embedded technologies that collect player data and stats for real-time analytics. Designed to absorb shockwaves, the floor of the basketball court helps reduce player injuries. To simulate game conditions during practice, a sound system recreates the volume of loud, cheering fans.
To accommodate the players’ needs for privacy and safety, the building provides dedicated private and public entrances."
Amsterdam Airport Schiphol ,"Amsterdam, Netherlands",https://www.hok.com/design/service/architecture/amsterdam-airport-schiphol-/,,"HOK collaborated with UNStudio and Arup in an international competition to design the expansion of Schiphol Airport’s Terminal A.
 
The team’s design proposal, which was one of four finalists, leverages technology and local culture to create the best airport processes and passenger experience for Schiphol Airport’s newest terminal.
 
Schiphol revolutionized the idea of the “airport city,” setting the precedent for aviation hubs across the world. For this design competition our team’s trend analysis of passenger data demonstrated a clear shift from a dominant vehicular traffic model to an interconnected public transport model. The next step in this evolution thus was to create an intermodal airport city. To support this vision, the proposed design links the new Terminal A to existing public plazas and public transportation. 
By reimagining Schiphol’s center, the intermodal hub becomes a seamless part of the traveler’s journey. Easy connectivity enhances the passenger experience. Transparency, spatial simplicity, clear lines of sight and smooth movement flows all contribute to this concept. 
The terminal’s interior environment enhances the sensory experience of passengers while reflecting the cultural and physical identity of the Netherlands. The seemingly open, transparent ceiling emulates a clear sky and helps with passenger orientation. Controlled openings allow natural light to flood the terminal. Placing plants and interior landscapes in strategic locations helps guide passengers to their destinations. 
The plan organizes functional zones in clear, successive layers so passengers can flow smoothly through the airport. Maintaining equal floor heights, direct lines of sight and simple transitions between the existing and new terminal provides seamless connectivity between the two terminals."
NEF Ataköy 22 Mixed-Use Development,"Istanbul, Turkey",https://www.hok.com/design/service/architecture/nef-ataky-22-mixed-use-development/,"SERVICES: Architecture
Landscape Architecture
Master Planning","This transit-oriented, mixed-use development in the Ataköy neighborhood of Istanbul features a community designed around six high-rise towers.
Developed by NEF Real Estate, the six-block site includes five 18-story residential towers housing 1,500 apartment and micro-apartment units, and a separate 18-story office tower. A shared podium connects the high-rises with a street-level retail mall that promotes pedestrian activity. Public transportation stations are located at each end of the development.
Because the site sits higher in the north than the south, the design provides a multi-level entry that creates a retail-office bridge between the two main roads.
Limestone, glass-fiber-reinforced concrete panels and ribbon windows on the residential towers create a modular, undulating facade that accentuates the organic flow of the development and provides sunshading and visual harmony. Contrasting this curvilinear form, the podium-level garden apartments are housed in a faceted, zigzag massing that unifies individual tower blocks.
The towers are designed around a central square, allowing natural ventilation and light to the lower levels of the podium. Composed of unique gardens and pavilions, this multi-level linear courtyard promotes activity throughout the development. Bridges and walkways facilitate circulation and a sense of community.
Private residential terraces, plazas and roofscapes add garden spaces that provide visual continuity. Diverse residential amenities emphasize the social aspect of high-density living with a focus on entertainment and health — from private cinemas to basketball courts.
Building information modeling tools helped the design team maximize efficiencies. During the design phase, high market demand for residential units required one of the six towers originally designed for commercial office use to be redesigned as a residential tower in a compressed timeframe. The team also streamlined the constructability of the curvilinear concrete spandrel panels on four of the residential towers by devising a modular system that used a limited number of molds to create the complex forms seen throughout the development. "
14th & W,"Washington, DC, USA",https://www.hok.com/design/service/architecture/14th-w/,"SIZE: 356,600 sq. ft. / 33,100 sq. m.
220 residential units: 191,000 sq. ft. / 17,700 sq. m.
3 levels of underground parking: 80,000 sq. ft. / 7,400 sq. m.
Ground floor retail: 35,000 sq. ft. / 3,200 sq. m.
YMCA: 50,000 sq. ft. / 4,600 sq. m.

SERVICES: Architecture
Interior Design
Landscape Architecture
Master Planning

AWARDS: NAIOP Maryland/DC - Award of Excellence, Best Mixed-Use Project","This project integrates luxury apartments, retail, a YMCA and existing historic facades into a contextual solution on the border of a historic residential district and a growing commercial zone.
The project’s scale and the existence of five “historically contributing,” early 20
th
-century row houses on 14th Street required the project to be approved by the Historic Preservation Review Board and the District of Columbia Office of Planning. 
HOK’s team designed the massing and materials to be respectful of but not subservient to the historic fabric. Massing and details at the corner of 14th and W streets help establish a strong presence on the corner. The design restored the facades of the row houses on 14th Street to a historically appropriate appearance and integrated the interiors into the new construction. On W Street, the materials and massing change, with higher floors stepping back to create terraces for the units and the facade modulating to respect the shorter historic Victorian brownstones across the street. A modern facade on the new YMCA entrance draws attention from 14th Street. 
A key to the project is the reconstruction of the YMCA Anthony Bowen, which was named for the formerly enslaved minister who founded the nation’s first independent African-American YMCA in 1853. The renovated YMCA includes 50,000 square feet of space including exercise rooms, a swimming pool, a daycare center, meeting rooms and a roof deck."
St Bartholomew's Hospital Redevelopment and King George V Building,"London, UK",https://www.hok.com/design/service/architecture/st-bartholomews-hospital-redevelopment-and-king-george-v-building/,"SIZE: 700,000 sq. ft. / 65,000 sq. m.

SERVICES: Architecture
Interior Design
Landscape Architecture

AWARDS: London First - Improvement to Londoners Quality of Life Award
European Healthcare Design Awards - NHS Healthcare Design Award","Skanska Innisfree selected HOK to design the simultaneous redevelopment of St Bartholomew’s and The Royal London Hospitals.
HOK is leading the architecture, interior design, medical planning and landscape design for the largest hospital redevelopment implemented in the UK under the Private Finance Initiative (PFI) funding scheme.
St Bartholomew’s was founded in 1123 and is Britain’s oldest hospital. Serving a population of more than three million people, the hospital’s new nine-story King George V Building includes the Barts Heart Centre, the UK’s largest specialized cardiovascular facility.
Some existing historic buildings on the site were refurbished, conserved and integrated with new construction to create the specialized cancer and cardiac center. The new building, which incorporates the retained King George V block, features a contemporary design of stone and brick that complements the existing Georgian architecture of London’s historic Smithfield area.
Medical professionals at the new Barts Heart Centre will perform more heart surgeries, MRI scans and CT scans than any other facility in the world. State-of-the-art facilities include 10 operating suites, 10 catheterization laboratories, 250 general cardiac beds, 58 critical care beds and 40 coronary care unit beds. Clinicians estimate that more than 1,000 lives could be saved every year because of the state-of-the-art treatment and expanded patient access to a broad range of clinical trials.
The landscape design restores the main square on the site — originally designed by James Gibbs in the 1730s — as a fully accessible space for patient relaxation. Planting and paving materials enhance the surrounding Grade I and II-listed buildings and historic central fountain that provides a welcome green space in the heart of the hospital.
Part of the redevelopment has achieved an ‘Excellent’ rating in the NEAT (NHS Environmental Assessment Tool) certification, an independent green building certification method.
The redevelopment has been carried out in phases, enabling the campus to remain operational from the beginning of the project in 2006 through completion in 2016."
"Fitzrovia Apartments, Phase 2","London, UK",https://www.hok.com/design/service/architecture/fitzrovia-apartments-phase-2/,"SIZE: 129,200 sq. ft. / 12,000 sq. m.

SERVICES: Architecture
Facility Programming
Interior Design","This project completes the redevelopment of the former Royal National Orthopaedic Hospital site in central London into a mixed-use, high-density urban development.
The project celebrates the rich variety of city living by integrating a healthcare facility, market-rate and affordable housing, contemporary offices, a historic building, parking and landscaped gardens on a compact urban site.
Phase 2 of the development includes the completion of the 100-unit residential building (market-rate and affordable apartments), as well as 3,230 square feet of office space within an existing Grade II-listed historic hall. These additions complement the 
project’s first phase
, which was also designed by HOK and included an outpatient orthopedic clinic and 45 apartment units in the residential building.
Located near Regent’s Park in one of London’s most sensitive urban environments, the residential building is arranged around two landscaped courtyards. It incorporates sustainable features such as ground-source heat pumps, biofuel boilers, and green walls and roofs. Primary facades are composed of Spanish limestone that integrates public art in the form of colored glass fins depicting abstract images of MRI scans.
Vertical bay windows fabricated from anodized aluminum and glass accent the building design. To reflect the sun and maximize light, the elevations overlooking the courtyard are clad in light zinc tiles.
At the center of the site, the hospital’s former waiting hall is connected to the building’s main entrance on Bolsover Street. The technical requirements of retaining this 1927-listed building in situ involved careful preservation of the historic structure’s Roman Classical architectural character while creating a flexible interior office design.
Large murals that dominate the double-height space inspired the muted design palette. Textured upholstery, timber detailing and bespoke furniture ensure that the space fulfills tenant needs and complements the design aesthetic of the original building.
A glazed reception area with double-height ceilings opens onto a courtyard with stunning landscaped gardens, providing a place to escape the busy London streets.
The redevelopment has been carried out in phases, enabling the campus to remain operational from the beginning of the project in 2006 through completion in 2016."
University of Chicago Eckhardt Research Center,"Chicago, Illinois, USA",https://www.hok.com/design/service/architecture/university-of-chicago-william-eckhardt-research-center/,"LEED CERTIFICATION: LEED-NC Silver

SIZE: 277,000 sq. ft. / 25,735 sq. m.

SERVICES: Architecture
Graphic Design
Interior Design
Laboratory Planning/Programming/Design
Landscape Architecture","The University of Chicago’s new William Eckhardt Research Center brings together its first molecular engineering program and Nobel Prize-winning physical sciences research groups.
Located on the university’s main campus south of downtown Chicago, the building houses the university’s Department of Astronomy and Astrophysics, the Kavli Institute for Cosmological Physics, the Institute for Molecular Engineering and the Dean’s Office of Physical Sciences. It includes state-of-the-art laboratories, offices, conference rooms, a 150-seat conference facility and a café.
Conducting research here are world-leading research teams working across multiple disciplines in the fields of chemical, electrical, mechanical and biological engineering as well as the traditional materials and physical sciences. Five floors above grade provide flexibility and infrastructure for different lab types ranging from optics to chemistry. Two of the center’s seven floors are below grade, enabling the university to isolate highly specialized labs, including the Pritzker Nanofabrication Facility cleanroom and a high bay assembly lab, from vibration and electromagnetic interference.
HOK’s team designed every aspect of the Eckhardt Research Center to foster the interdisciplinary collaboration required to generate scientific breakthroughs. Carefully planned interaction spaces include a large conference facility, pre- and post-event space, a café, light-filled hallways and highly coveted corner collaboration areas with open views. Each floor is considered a neighborhood, with a home base at the north end providing the largest gathering spaces. On the building’s top floor, an open balcony provides a view of the Chicago skyline to the north.
Glass is used extensively on the exterior, linking people to nature and allowing for light to transform the building’s facades throughout the day. James Carpenter Design Associates served as design consultant to HOK in the creation of the dynamic building enclosure. Each facade is uniquely responsive to the site and its public realm, harnessing light as an organizing principle for the building’s performance and human experience. "
Tampa International Airport,"Tampa, Florida, USA",https://www.hok.com/design/service/architecture/tampa-international-airport/,"SIZE: 60,000 sq. ft. / 5,574 sq. m. (renovation)
38,000 sq. ft. / 3,530 sq. m. (addition)

SERVICES: Architecture
Art Program
Landscape Architecture
Interior Design
Lighting Design
Sustainable Consulting","Tampa International Airport is in the midst of a transformation that affects nearly every part of its campus. 
At the core of these changes is the airport’s desire to build on its legacy of outstanding customer service by expanding and modernizing its space to better serve passengers.
The Skanska / HOK design-build team is leading the terminal and airside project, which will be complete in 2018. This project is part of an initial expansion phase that will double the capacity of the airport, which currently serves more than 17 million passengers per year, while elevating the travel experience for guests.
The design transforms the existing facility into an open and airy terminal, with primary east- and west-facing curtain wall and metal panels enveloping the terminal’s concrete aesthetic. Four outdoor terraces provide spaces for customers to relax and enjoy the breezes and sunset views.
The project adds more than 60,000 square feet of useable space—enough for a football field to fit comfortably within the existing floor plate—to the terminal’s third-floor transfer level. The project adds 38,000 square feet of enclosed new space. HOK’s design creates a unified, visually accessible space across the east-west axis. It includes retail, restaurants, a coffee bar, lounge spaces, work space for business travelers, a family zone, vertical circulation and public art. Four shuttle lobbies are being relocated.
The remainder of the project affects all public spaces, with new airside concessions spaces, new food courts, functional improvements to all gate lounges and a campus-wide art program."
Carleton University Herzberg Laboratories Building Addition,"Ottawa, Ontario, Canada",https://www.hok.com/design/service/architecture/carleton-university-herzberg-laboratories-building-addition/,"GREEN GLOBES&nbsp;CERTIFICATION: 4/5 Globes

SIZE: 18,000 sq. ft. / 1,670 sq. m.

SERVICES: Architecture","A vertical, three-story addition to Carleton University’s Herzberg Laboratories Building features a modern black, white and glass exterior.
The sun shading louvers, bold cladding and large window sections create an iconic teaching and research building on Carleton’s campus.
Built while the lower levels were in use, the addition’s first floor houses the Science Student Success Centre and the Math Tutorial Centre. The second floor includes the Interdisciplinary Institute and Environmental Science program. The third floor houses the Health: Science, Technology and Policy program.
The building achieved four out of five globes in the Green Globes sustainable building rating and certification system.
With the primary glazing on the north and south walls and sun shading louvers on the south, the building’s orientation and window-to-wall size ratios optimize daylighting while controlling heat gain. Energy use is expected to be at least 30 percent more efficient than the National Energy Code.
Other sustainable design features include energy-efficient lighting fixtures, lamps and ballasts; low-flow, water-conserving fixtures; and use of building materials with high amounts of recycled content.
 "
700 Market ,"St. Louis, Missouri, USA",https://www.hok.com/design/service/architecture/700-market-/,"<strong>SIZE</strong>: 64,950 sq. ft. / 6,030 sq. m.

<strong>SERVICES</strong>: Architecture
Landscape Architecture
Lighting Design
Structural Engineering

<strong>AWARDS</strong>: Concrete Council and American Steel Fabrication  Quality Concrete Award
Mayors Business Celebration Awards  Development of the Year Award","HOK provided design services for an extensive redevelopment led by The Koman Group to accommodate employees of The Laclede Group in the company’s new downtown headquarters in the former General American Building.
As one of the “youngest” buildings in the National Register of Historic Places, the postmodern landmark structure, renamed 700 Market, was originally designed by Philip Johnson. Because of the dramatically sloped grade, Johnson’s style of designing buildings on a clean, flat plane, where they can meet the site, had not been realized. The design team’s challenge was to redevelop the site to meet the needs of the new users within while preserving the character of this iconic building.
To resolve the grade issue, the design creates a grand flight of stairs leading to a 
formal entry plaza
. Immaculately detailed in concrete and simple forms, this entry plaza honors Johnson’s original vision. 
Tucked into the grade of the site, the 
east courtyard
 creates intimate meeting areas along the side of the building. With a lush backdrop to the city, this space gives building occupants respite from the public realm. 
An 18,000-sq.-ft. 
rooftop garden courtyard
 on the building’s fifth floor offers space for collaboration and socialization. This terrace provides sweeping views of the Gateway Arch and St. Louis skyline. The green roof’s vegetated planter trays, trees, shrubs and sodded lawn area help insulate the building and conserve energy while managing the stormwater. Highlighted by a dynamic lighting system, the terrace features a fitness path, programmable lawn and paved event space that accommodates corporate or civic functions. "
Suvarnabhumi International Airport Midfield Satellite Concourse,"Bangkok, Thailand",https://www.hok.com/design/service/architecture/suvarnabhumi-international-airport-midfield-satellite-concourse/,"SIZE: 2.325 million sq. ft. / 216,000 sq. m.

SERVICES: Architecture
Interior Design","As a natural extension of the existing terminal, this new midfield satellite concourse provides an exceptional travel experience for passengers.
The four-level concourse building will accommodate up to 15 million annual passengers and have 28 aircraft contact gates, eight of which will serve Code F A380 aircrafts. A new underground automated people mover and baggage handling system connects the building to the main terminal.
A barrel-vaulted section and alternating bands of glass and solid material in the new midfield concourse blend the interior with the spatial quality of the main terminal.
The concourse’s metal-clad standing seam roof is supported by a simple arched beam and tree column structure. This is more economical, energy efficient and easier to maintain than the existing terminal’s roof, which is made up of tensile fabric and exposed arched trusses.
In contrast to the existing terminal, the interior of the new concourse is modern but balanced with subtle cultural references that provide a sense of “Thai-ness.” The ceiling is made up of crisscrossing arched ribs infilled with timber-colored slats. The resulting diamond-patterned ceiling recalls traditional silk cloth patterns and regional basket weaving textures. Interior gardens remind travelers of Thailand’s tropical nature while drawing greenery and natural light deep into the concourse."
