Titles,Location,Client,Type,Info,Leader,Introduction
Spatial Plan for Durmitor Region and Durmitor National Park,"Northern Region, Montenegro","Government of Montenegro, Ministry of Sustainable Development and Tourism","Green
Heritage / Historic Preservation
Parks
Planning &amp; Urban Design","Area: 1,200 km2
Completed: 2016","Trevor McIntyre: Regional Director, UK/Ireland & International
Neno Kovacevic: Associate Director | Practice Lead, Urban Design / Landscape Architecture","IBI Group, in association with the Centre for Architecture and Urbanism (CAU), were retained by the Government of Montenegro and the Ministry of Sustainable Development and Tourism to develop a Spatial Plan for the Mt. Durmitor Special Purpose Zone and update the Durmitor National Park planning document."
Playa los Banos Waterfront Park,"Limón, Costa Rica",Japdeva,"Architecture
Engineering
Landscape Architecture
Master Planning
Placemaking",Completed: 2015,"Trevor McIntyre: Regional Director, UK/Ireland & International
Neno Kovacevic: Associate Director | Practice Lead, Urban Design / Landscape Architecture","IBI Group, in association with INDECA, was retained to provide master planning, landscape architecture, architecture, and engineering services for the revitalization of the central waterfront park in Limón, Costa Rica, called Playa Los Baños."
Yonge Eglinton Centre,"Toronto, ON",RioCan Real Estate Investment Trust,"Architecture
Green
High Rise Residential
Interiors
Mixed Use
Office
Residential
Retail","Interior Retail Renovation: 51,000 sq ft
Retail Expansion: 46,000 sq ft
Office Tower Addition: 209,000 sq ft
Completed: 2016",,"IBI Group provided interior design and architecture services for the redevelopment of the Toronto Yonge Eglinton Centre to help prepare for anticipated future growth and renew the aging complex. In addition to making a significant design statement, the centre taps into existing urban infrastructure, utilizes current sustainable practices, and intensifies the use of public transit."
LCBO,"Various Cities, ON",The Liquor Control Board of Ontario,"Project / Programme Management
Retail",,"Vince Gallo: Associate | Manager, Architecture
Drummond Hassan: Director | Sr. Practice Lead, Architecture","IBI Group is proud to be the architect of record for the Liquor Control Board of Ontario (LCBO), overseeing a series of new retail outlets and improvements consisting of interior fit-up, infill, renovation, expansion, and base-building plus interior fit-up projects for over 100 store locations across Ontario and counting."
KPMG – Toronto North,"Vaughan, ON",KPMG LLP,"Green
Implementation/Construction Phase Services
Interiors
Office
Project / Programme Management
Research &amp; Development
Strategic Planning","Size: 136,000 sq ft
Floors: 6 floors 
Completed: 2016","Steve McKee: Associate Director | Practice Lead, Interior Design
Ellen Roland: Associate | Interior Designer","Located adjacent to the new Vaughan Metropolitan Centre, KPMG's Toronto North office strives to stay ahead of the curve by relocating some 500 employees to this up-and-coming urban hub. IBI Group's interiors team was tasked with the strategic studies and also the design and project management of this state-of-the-art, 136,000 sq. ft. project."
Monrovia Station Square Transit Village,"Monrovia, CA",City of Monrovia,"Approvals
BIM / 3D Visualization
Environmental Assessment
Implementation/Construction Phase Services
Landscape Architecture
Planning &amp; Urban Design
Project / Programme Management
TOD
Transit Facilities
Wayfinding &amp; Signage","Construction Costs: $30 million
Area: 3 acres 
Streetscape: 2 miles 
Status: Ongoing","David Chow: Director | US P3 and Mobility+ Lead
David Nicholas: Associate Director | Principal, Landscape Architecture","The City of Monrovia, CA hired IBI Group to prepare a comprehensive station area design and civil infrastructure improvement plan to link their new light rail station with their main street and central business district.  The work included an urban design and public improvement plan for a transit plaza, multipurpose depot promenade and neighborhood park surrounding the Monrovia Light Rail Station along the expansion of the Metro Gold Line light rail corridor in San Gabriel Valley, California."
States of Jersey Police Headquarters,"Jersey, UK",States of Jersey Property Holdings,"Architecture
BIM / 3D Visualization
Civic &amp; Government
Labs / Life Sciences
Office
Planning &amp; Urban Design
Police Stations","BREEAM: Very Good
Size: 5,600 sq m
Additions: 20-cell custody suite
Storeys: 5
Completed: 2016",Mike Richardson: Studio Director,"IBI Group worked as lead consultant for the new States of Jersey Police Headquarters, providing site searches, feasibility studies, detailed design and traditional tendering procurements. "
Porsche Experience Centers,"Atlanta, Carson, GA, CA",Porsche Cars North America,"Architecture
Automotive
Civil Engineering
Engineering
Landscape Architecture
Master Planning
Mechanical Engineering
Mobility+
Planning &amp; Urban Design
Structural Engineering","Carson size: 53 acres
Carson completion: 2016
Atlanta size: 26 acres
Atlanta completion: 2015","Todd Hoisington: Director | US Industrial Lead, Buildings","Located in Carson, California and Georgia, Atlanta, Porsche Experience Centers provide drivers with the road test of a lifetime. Designed by IBI Group, each facility has the exceptional look and intelligent performance Porsche is known for the world over. "
Solar Strategy for Montenegro,"Country-wide, Montenegro","Government of Montenegro, Ministry of Sustainable Development and Tourism","Energy
Engineering
Green
Planning &amp; Urban Design
Solar",Completed: 2012,"Trevor McIntyre: Regional Director, UK/Ireland & International
Neno Kovacevic: Associate Director | Practice Lead, Urban Design / Landscape Architecture","IBI Group was retained by the Government of Montenegro and the Ministry of Sustainable Development and Tourism to develop a Strategy of Spatial Valorization aimed at renewable solar power generation, and demonstration pilot projects."
One Pacific – Concord Pacific Place,"Vancouver, BC",Concord Pacific Group Inc.,"Architecture
Environmental Assessment
Living+
Mixed Use
Planning &amp; Urban Design
Residential
Retail","Size: 350,000 sq ft
Storeys: 18
Units: 434
Status: Ongoing","Bill Quan: Director | Sr. Practice Lead, Architecture
Jeff Christianson: Director | Sr. Practice Lead, Architecture
Martin Bruckner: Director, Architect","Located at the end of the Cambie Street bridge, One Pacific is seen as a ‘gateway' project to the urban core of Vancouver. This area is considered an emerging sports/entertainment district and the site is positioned to serve the active community within the city core."
The Christian Science Plaza,"Boston, MA","The First Church of Christ, Scientist","Landscape Architecture
Parks
Placemaking
Spiritual Places
Water Resources Management
Wayfinding &amp; Signage","Area: 10 acre
Status: Ongoing","John Amodeo ASLA LEED AP: Principal, Landscape Architecture",IBI Group is working on the revitalization of the historic 10-acre Plaza and reflecting pool. 
Victoria Park Bus Terminal,"Toronto, ON",Toronto Transit Commission (TTC),"Engineering
Green
Mobility+
Terminals
Transit Facilities
Transportation","Transit commuters: 250,000+
Building Area: 4,325 sq m
Total Size: 8,512 sq m","Charlie Hoang: Director | Sr. Practice Lead, Transit Architecture
Lisa D&#8217;Abbondanza: Director - Sr. Practice Lead, Architecture","As part of the TTC Station Modernization Program, IBI Group was the prime consultant for the multi-award- winning Victoria Park Station renovation and six-bay bus terminal replacement. The project includes the modernization of the existing subway station with upgrades throughout the facility, introducing natural light, artwork, and improved urban design."
Florida 511,"State-wide, FL",Florida Department of Transportation,"Engineering
Operations
Software as a Service
Systems
Systems Integration
TravelIQ
Traveller Information",Status: Ongoing,"Derek Sims: Global Director, Intelligence
James Barbosa: Director | US Solutions Lead, Intelligence
Geoff Carter: Director | Sr. Practice Lead, Traveller Information Systems","Through the Florida Department of Transportation, IBI was commissioned to design and deploy a new, state-wide traveler information system for the State of Florida. "
Highway 406 Expansion,"Thorold-Welland, ON",Ministry of Transportation,"Bridge Engineering
Bridges, Roads &amp; Highways
Electrical Engineering
Planning &amp; Urban Design
Project / Programme Management
Sustainability &amp; Environmental Management
Water Resources Management","Highway expansion: 6 km
Bridge: 11 span
Completion: 2016","Fouad Mustafa: Director, New Initiatives
Kevin Bebenek: Regional Director, Canada East","As Project Manager, IBI Group provided the detailed design of the Highway 406 twinning from Port Robinson to East Main Street, including the 11-span bridge over Welland Canal, Merritt Island and Welland River."
Oakley Station CSO 551 and CSO 553 Separation Sewer,"Hamilton County, OH",Metropolitan Sewer District of Greater Cincinnati (MSDGC) / USS Realty,"Bridges, Roads &amp; Highways
Civil Engineering
Civil Infrastructure
Design Build
Development Engineering
Engineering
Geomatics / Land Surveying
Green
Planning &amp; Urban Design
Site Development","CSOs: 2
Area: 75 acre
Completion: 2013
Time savings: 7 years","Jeffrey B. Koehn: Associate Director | US Transportation Lead, Infrastructure",This was the first design-build procurement for the Metropolitan Sewer District of Greater Cincinnati and this delivery method allowed IBI Group to propose a fast-tracked plan that enabled the client to reach their goal seven years ahead of schedule and at less than half the budget.
HAM-75 Interstate Improvements,"Hamilton County, OH","Ohio Department of Transportation (ODOT), District 8","Bridge Engineering
Bridges, Roads &amp; Highways
Civil Engineering
Civil Infrastructure
Sustainability &amp; Environmental Management
Traffic Signals Design
Water Resources Management","vehicles per day: 144,000+
Thru the Valley: $370 million
Monmouth Bridge: $7 million
Status: Ongoing","Jeffrey B. Koehn: Associate Director | US Transportation Lead, Infrastructure
Jeff Hackenbracht: Senior Project Manager","In 2017, the Ohio Department of Transportation (ODOT) invested a near-record $2.3 billion into the state's roads and bridges. Take a look at some of the projects that IBI Group is working on to help realize their vision of ""easy movement of people and goods from place to place”."
Landsea Avora,"Weehawken, NJ",Landsea Homes,"Architecture
Energy
Green
Interiors
Living+
New Projects
Residential
Solar","LEED: Silver
Size: 450,000 sq ft
Storys: 11
Completion: 2018","Mansoor Kazerouni: Global Director, Buildings | IBI Living+
Jennifer Lem: Associate | Manager, Interior Design","Designed by IBI Group, Avora is a luxury apartment complex located in Weehawken, NJ. Adjacent to the Hudson River Waterfront Walkway and offering unobstructed views of Manhattan, the building will be an icon for Landsea and the surrounding community. "
Los Angeles Civic Center Master Planning,"Los Angeles, CA",City of Los Angeles,"Architecture
Civic &amp; Government
Landscape Architecture
Master Planning
Mobility+
New Projects
Spatial Intelligence","Area: 3 million+ sq ft
Status: Ongoing","Kirk Shimazu: Associate Director | US Civic Lead, Buildings
Trevor McIntyre: Regional Director, UK/Ireland & International
Gary Andrishak: Director","Our master development plan presented a holistic vision for a vibrant mixed-use community uniting municipal, cultural, retail and residential facilities in the heart of downtown Los Angeles, California."
Eglinton Crosstown LRT,"Toronto, ON",Metrolinx / Infrastructure Ontario; Crosslinx Transit Solutions,"Active Transportation
Architecture
Engineering
Landscape Architecture
Light Rail Transit
Mobility+
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Terminals
TOD
Transit Facilities
Transportation","Corridor: 19.5 km
Stations: 15
Stops: 10
Interchange stations: 3
MSF: 1","Charlie Hoang: Director | Sr. Practice Lead, Transit Architecture
Trevor McIntyre: Regional Director, UK/Ireland & International
Fouad Mustafa: Director, New Initiatives","The ECLRT is Toronto's most significant transit expansion in decades, spanning the entire city across 19.5 kilometres of above and below ground track. When finished, the new line will connect five boroughs via multi-modal stations."
Toronto 2015 Pan Am Games,"Toronto, ON",Ontario Ministry of Transportation,"Advanced Traffic Management System
Data Analytics
Engineering
Information &amp; Communications Technology
Landmark Events
Landscape Architecture
Mobility+
Operations Centre
Parking
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Systems
Transportation
Wayfinding &amp; Signage","Athletes: 10,000
Spectators: 1.4 million
Organizations: 30+
Temporary HOV lanes: 235 km","Bruce Mori: Director | Sr. Practice Lead, Transportation Planning
Andrea Lendak: Associate Director - Practice Lead, Intelligent Systems
Elizabeth Vieweg: Associate - Manager, Intelligent Systems","IBI Group acted as Lead Architect for the Athlete's Village, and also lead transportation planning, delivery, and operations during the the largest multi-sport event ever hosted in Canada — including the management of 1,500 kilometres of Games route network during its 51-day schedule."
Bristol Operations Centre,"Bristol, UK",Bristol City Council,"Mobility+
Operations
Operations Centre
Planning &amp; Urban Design
Project / Programme Management
Smart Cities
Strategic Planning
Systems
Systems Integration",Completed: 2016,"Graeme Scott: Director | UK Sector Lead, Intelligence","Developed for the Bristol City Council as part of their Smart City programme, this connected operations centre is designed to provide integrated, city-wide management and service delivery to strengthen citizen living."
Nitesh Plaza,"Bengaluru, India",Nitesh Estates Limited,"Architecture
High Rise Residential
Interiors
Landscape Architecture
Living+
Master Planning
Office
Planning &amp; Urban Design","Office: 300,000 sq ft
Residential: 80,000 sq ft
Tower: 27 storey
Parking: 600 car","Mansoor Kazerouni: Global Director, Buildings | IBI Living+
Trevor McIntyre: Regional Director, UK/Ireland & International
Jennifer Lem: Associate | Manager, Interior Design","Established on a prominent 2.3-acre site along the prestigious Ali Askar Road, this 380,000 square foot mixed-use site seamlessly blends office and residential spaces in an executive setting. IBI Group provided architectural and interior design direction for the project, as well as landscape architecture including hardscape, softscape and water bodies."
Cardiff University – Maindy Innovation Campus,"Cardiff, UK",Cardiff University,"Architecture
BIM / 3D Visualization
Education
Green
Higher Education
Interiors
Learning+","Completed: 2015
Excellent: BREEAM®",Richard Golledge: Studio Director,"The result of an ambitious multi-phase expansion plan, Cardiff University's new Hadyn Ellis Building and Brain Research Imaging Centre (CUBRIC) rejuvenated the Science & Innovation Campus at Maindy Road, delivering a new home for world-class, highly collaborative medical research."
Metrolinx “The Big Move”,"Toronto, ON",Metrolinx,"Mobility Hub
Mobility+
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Public Outreach
Transportation",,"Bruce Mori: Director | Sr. Practice Lead, Transportation Planning","IBI Group was retained by Metrolinx in October 2009 to further the ""The BIG Move"" initiative. Guided by our deep experience in urban transportation design, we crafted a planning framework that would reshape transit in the Greater Toronto and Hamilton Area."
NTA Tel Aviv Red Line,"Tel Aviv, Israel",Tel Aviv Mass Metropolitan Transit System,"Architecture
Civil Engineering
Engineering
Landscape Architecture
Light Rail Transit
Mobility+
Multi-Modal Transportation
Municipal Services
Planning &amp; Urban Design
Project / Programme Management
Structural Engineering
Transit Facilities
Transportation","Length: 23 km
Status: Ongoing",John Knape: Frameworks Director,"One the country's highest profile infrastructure developments, the 23km Red Line project is the first phase in a planned network of LRT lines that will connect Tel Aviv's metropolitan region — becoming the city and country's first below ground transit system. "
Union Station Revitalization,"Toronto, ON","City of Toronto, Toronto Transit Commission","Architecture
Civil Engineering
Engineering
Environmental Assessment
Heritage / Historic Preservation
Interiors
Mobility+
Planning &amp; Urban Design
Terminals
Transit Facilities
Transportation
Water Resources Management",Status: Ongoing,"Charlie Hoang: Director | Sr. Practice Lead, Transit Architecture","IBI Group is a key partner in multiple aspects of the revitalization plan to evolve Toronto's iconic Union Station, providing much-needed performance upgrades and responsible restoration of the building's architectural and heritage features. "
vivaNext York Region Rapid Transit,"York Region, ON",York Region Rapid Transit Corporation,"Active Transportation
Architecture
Bridges, Roads &amp; Highways
Bus Rapid Transit
Design Build
Engineering
Environmental Assessment
Landscape Architecture
Mobility Hub
Mobility+
Multi-Modal Transportation
P3
Placemaking
Planning &amp; Urban Design
Transit Technology
Transportation
Transportation Planning",,"Darlene Broderick: Associate Director | Practice Lead, Urban Design / Landscape Architecture
Mike Corby: Director | Office Lead
Onofrio Aniello: Associate | Manager, Electrical Engineering","IBI Group is part of a design consortium working in partnership with Metrolinx, Infrastructure Ontario, York Region Rapid Transit Corporation, Regional Municipality of York and other stakeholders to design and build vivaNext  — a bus rapid transit (BRT) system to serve the future of the region and alleviate congestion in the Greater Toronto Area.  "
Sensor City,"Liverpool, UK",Sensor City Ltd.,"Architecture
BIM / 3D Visualization
Education
Higher Education
Innovation Districts
Learning+
Public Outreach",Completed: 2017,Sue Chadwick: Studio Director,"A collaboration between the University of Liverpool and Liverpool John Moores University, Sensor City is a highly adaptable research environment and incubator space for startups and SMEs developing digital sensor technologies and applications. "
Goldcorp Master Plan,"Zacatecas, Mexico",Goldcorp Inc.,"Architecture
Engineering
Master Planning
Planning &amp; Urban Design","Area: 59 ha
Completed: 2013","Ashish Ghate: Director | Sr. Practice Lead, Urban Design / Planning
Trevor McIntyre: Regional Director, UK/Ireland & International","Goldcorp, the world's second largest gold mining company, retained IBI Group to create a community vision for its gold mine in Peñasquito, Zacatecas, Mexico."
Goldcorp Influx Management Plan,"Perito Moreno, Argentina",Goldcorp Inc.,"Master Planning
Planning &amp; Urban Design
Public Outreach",Completed: 2013,"Ashish Ghate: Director | Sr. Practice Lead, Urban Design / Planning
Trevor McIntyre: Regional Director, UK/Ireland & International","Goldcorp, the world's second largest gold mining company, retained IBI Group for the development of an Influx Management Plan (IMP) to service its Cerro Negro mines located approximately 1.5 hours away from the Town of Perito Moreno in Santa Cruz Province, Patagonia, Argentina."
Calgary Fire Station 16 and Calgary Fire Department Headquarters,"Calgary, AB",Calgary Fire Department,"BIM / 3D Visualization
Civic &amp; Government
Civil Engineering
Engineering
Fire Stations
Green
Municipal Services
Parking
Site Development
Water / Wastewater
Water Resources Management","LEED: Gold
Completed: 2017","Keith Sallaway: Director, Architect
Leanne Soligo: Associate Director | Practice Lead, Architecture","The Calgary Fire Department (CFD) engaged IBI Group to prepare a master plan for the existing department headquarters site, and provide a functional program study that addressed the department's expansion needs. The outcome determined that construction of new facilities in addition to renovating existing structures would provide the best value and fit to accommodate the CFD's current and future needs. IBI was subsequently engaged as civil engineer and architect."
Figueroa Corridor Streetscape Plan,"Los Angeles, CA","Troller Mayer Associates, Inc., Community Redevelopment Agency of Los Angeles","Active Transportation
Bridges, Roads &amp; Highways
Civil Infrastructure
Environmental Assessment
Mobility+
Multi-Modal Transportation
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Transportation",,"Bill Delo, AICP: Associate Director | Office Lead, Irvine","The Redevelopment Agency of LA enlisted IBI Group to convert a four-mile stretch of Figueroa – a busy/high-traffic corridor in Los Angeles – to a pedestrian and bike-friendly street. Transforming the busy thoroughfare and its 28 intersections into a complete street will be a significant milestone for the notoriously car-centric city, making it more accessible to cyclists, pedestrians, and transit users alike. "
Plan Maestro de Goldcorp,"Zacatecas, México",Goldcorp Inc.,"Plan Maestro
Planeación y Diseño Urbanos","Area: 39 ha
Completado en: 2013",,"Goldcorp, la segunda empresa de minería aurífera más grande del mundo, contrató a IBI Group para crear una visión de comunidad para su mina de oro en Peñasquito, Zacatecas, México."
Aberdeen Transit Plaza and No. 3 Road Corridor Restoration,"Richmond, BC","Fairchild Property Group Ltd., Cressey Development Corporation","Active Transportation
Bridges, Roads &amp; Highways
Engineering
Implementation/Construction Phase Services
Landscape Architecture
Mobility+
Placemaking
Planning &amp; Urban Design
Research &amp; Development
Transportation",Completed: 2013,"Gary Andrishak: Director
Stuart Jones: Director, Landscape Architect","While prior transit stations within Vancouver's SkyTrain system simply met the sidewalk-adjacent busy streets, the new Canada Line stations within Richmond, BC's downtown core embarked upon a different program; to ensure that the ""heart"" of each transit station along No. 3 Road was a well-appointed transit plaza radiating outward to the transit-oriented development (TOD) communities it served."
BC Women’s and BC Children’s Hospital,"Vancouver, BC","C&W Health Centre of BC, Provincial Health Services Authority","Architecture
Healthcare
Healthcare+
Labs / Life Sciences
Library
Office
P3
Pediatrics",Completed: 2015,"Tony Gill: Global Director, P3 Buildings
Doug McLachlan: Associate Director - Practice Lead, Architecture","IBI Group has been involved with BC Children's and BC Women's Hospital since 1995 through the transformation of their campus, redevelopment of key clinical needs and infrastructure upgrades. The process has led us to be part of a joint venture engaged in the long-range strategic planning process and various subsequent master plans."
Mississauga Bus Rapid Transit Stations,"Mississauga, ON","Metrolinx, City of Mississauga","Architecture
Bus Rapid Transit
Engineering
Mobility+
Planning &amp; Urban Design
Transit Facilities
Transportation",Completed: 2017,"Lisa D&#8217;Abbondanza: Director - Sr. Practice Lead, Architecture
Paul Williams: Associate Director | Practice Lead, Electrical & Mechanical Engineering
Chuck Beamish: Director | Sr. Practice Lead, Architecture","For the original concept design, IBI Group worked as a sub-consultant to MMM Group to develop the conceptual design for all proposed stations for both the east and west BRT systems. IBI designed eight station buildings within the east system operated by Mississauga Transit. The GO Transit Mississauga BRT West stations involved two station facilities and several civil roadway structures along with a dedicated busway between the Erin Mills and Winston Churchill facilities."
Lineamientos para el centro de movilidad Metrolinx,"Área metropolitana de Toronto y Hamilton, ON",Metrolinx,"Centro de movilidad
Lineamientos de Política y Diseño
Planeación y Diseño Urbanos
Transporte",Completado en: 2012,,Metrolinx contrató a IBI Group para avanzar con la iniciativa The Big Move y desarrollar un marco de planificación para el desarrollo de 50 centros de movilidad del Plan de transporte regional del área metropolitana de Toronto y Hamilton.
Trillium Creek Primary School,"West Linn, OR",West Linn-Wilsonville School District,"Architecture
Education
Green
Implementation/Construction Phase Services
Interiors
K-12 Education
Learning+","Size: 68,000 sq ft
Completed: 2012","Rachel DeWitt: Associate Director, Sub-Sector Lead","Guided by a strong student voice, the child-centric design of Trillium Creek Primary School combines individual learning space opportunities with a collective transparency that connects students and teachers to the work of learning and teaching. "
The Greta and Robert H.N. Ho Psychiatry and Education Centre (HOpe Centre),"Vancouver, BC",Strategic Group,"Acute Care
Ambulatory Care
Architecture
Engineering
Green
Healthcare
Healthcare+
Interiors
Labs / Life Sciences
Landscape Architecture
Mental Health Care
Parking
Wayfinding &amp; Signage","LEED: Gold
Size: 150,000 sq ft
Storeys: 4
Completed: 2015","Tony Gill: Global Director, P3 Buildings
Doug McLachlan: Associate Director - Practice Lead, Architecture",IBI Group designed the strategic master plan for Lions Gate Hospital campus to accommodate services up to 2040. The first phase of the master plan included implementation of the new Greta & Robert H.N. Ho Psychiatry & Education Centre.
Puebla BRT Consulting,"Puebla, Mexico","State of Puebla, Ministry of Transportation, International Finance Corporation","Architecture
Bus Rapid Transit
Economic / Financial Analysis
Engineering
Environmental Assessment
Landscape Architecture
Mobility+
Planning &amp; Urban Design
Sustainability &amp; Environmental Management
Systems
Transit Facilities
Transportation","Value: $500,000
Passengers per day: 250,000+
Total length: 32 km
Completed: 2014","Bernardo Ortiz: Director, Latin America
Carlos Gutierrez De Quevedo: Associate Director - Practice Lead, Transit Technology","Serving approximately 251,704 passengers per day, the Red Urbana de Transporte Articulado (RUTA) is an efficient, modern public transportation system housing state-of-the-art technology. The city of Puebla implemented a second and third bus rapid transit (BRT) line to further increase transport capacity. IBI Group provided consulting services and support for the technical and operations aspects of the project. "
Asesoría para el BRT de Puebla,"Puebla, México","Estado de Puebla, Secretaría de transporte y CFI (Corporación Financiera Internacional)","Análisis Económico / Financiero
Evaluación Medioambiental
Mobility+
Planeación y Diseño Urbanos
Planificación del Tránsito
Sistemas
Sostenibilidad y Gestión Ambiental",,,"La Red Urbana de Transporte Articulado (RUTA) que servirá a aproximadamente 251,704 pasajeros por día, es un sistema de transporte público eficiente y moderno de tecnología de punta. La ciudad de Puebla implementó una segunda y tercera línea de Metrobuses (BRT por sus siglas en inglés) para aumentar la capacidad de desplazamiento de pasajeros. IBI Group brindó asesoría y apoyo en los aspectos técnicos y operaciones del proyecto."
Green Line Southeast Transitway BRT and TOD Planning,"Calgary, AB","The City of Calgary Transportation Infrastructure/Transit, Hatch Engineering","Active Transportation
BIM / 3D Visualization
Bus Rapid Transit
Land Use Planning
Light Rail Transit
Mobility+
Planning &amp; Urban Design
TOD
Transportation",Status: Ongoing,"Gary Andrishak: Director
Oliver Hartleben: Associate | Manager, IBI TH!NK","IBI Group has been part of the Hatch Engineering team for the design and delivery of the Calgary Green Line Corridor. Upon completion, the Green Line will introduce 42 km's of transit service, 28 transit stations and six TOD transit villages, significantly altering the way Calgarians live, work and play."
North Bank Bridge Park,"Boston, MA","Massachusetts Department of Transportation, Massachusetts Department of Conservation and Recreation","Bridges, Roads &amp; Highways
Civil Infrastructure
Engineering
Landscape Architecture
Mobility+
Parks
Placemaking
Public Outreach","Size: 11 acres
Completed: 2012","John Amodeo ASLA LEED AP: Principal, Landscape Architecture
Cathy Offenberg: Principal, Landscape Architecture","As a member of a Joint Venture design team, CRJA-IBI Group designed the final piece of the waterfront park system in the New Charles River Basin, located beneath the new Leonard P. Zakim Bunker Hill Bridge."
Bhubaneswar Smart City Strategy and Implementation,"Bhubaneswar, India",Bhubaneswar Municipal Corporation,"Economic / Financial Analysis
Land Use Planning
Master Planning
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Project / Programme Management
Public Outreach
Smart Cities
Systems
Systems Integration
Transportation Planning",Status: Ongoing,"Ashish Ghate: Director | Sr. Practice Lead, Urban Design / Planning
Deepak Darda: Global Director, Innovation",Our award-winning 2015 Smart City Strategy for Bhubaneswar established a Program Management Unit with over 30 staff in the Bhubaneswar Development Authority (BDA) to produce the nerve centre of Bhubaneswar's pan-city technology plan.
Broadway Streetscape Urban Design and Master Plan,"Los Angeles, CA",Melendrez Associates Community Redevelopment Agency of Los Angeles,"Architecture
Bridges, Roads &amp; Highways
Civil Engineering
Engineering
Heritage / Historic Preservation
Master Planning
Mobility+
Multi-Modal Transportation
Placemaking
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Public Outreach
Transit Facilities",Status: Ongoing,"Steve Schibuola: Director | Sr. Principal, Transportation Engineering","IBI Group worked with Melendrez Associates to develop a master plan for the redevelopment of the historic Broadway district in Downtown Los Angeles. IBI Group analyzed the famous street to determine how it would function with multimodal transportation uses, including streetcars, buses, automobiles, shuttles, bicycles and pedestrians, with regards to traffic impacts and street design."
San Pedro Sula Urban Municipal Master Plan,"San Pedro Sula, Honduras",San Pedro Sula Municipality,"BIM / 3D Visualization
Mobility+
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Project / Programme Management
Public Outreach
Research &amp; Development
Smart Cities
Strategic Planning
TOD
Transportation Planning",Status: Ongoing,"Octavio Jimenez: Associate | Manager, Transportation Planning
Ashish Ghate: Director | Sr. Practice Lead, Urban Design / Planning
Bruno Peters: Deputy Regional Director, Canada West","IBI Group has been working with the municipality of San Pedro in Honduras to create a master plan of urban development that will help transform the metropolitan area into an intelligent, resilient city. The strategy will be tied to an Intelligent City platform that will help strengthen its competitiveness in Honduras for the next 25 years."
Plan Maestro de Desarrollo Municipal,"San Pedro Sula, Honduras",Municipalidad de San Pedro Sula,"BIM y Visualización 3D
Desarrollo Orientado al Tránsito
Difusión Pública
Dirección De Proyectos / Programas
Investigación y Desarrollo
Lineamientos de Política y Diseño
Mobility+
Plan Maestro
Planeación Estratégica
Planeación y Diseño Urbanos
Planificación de Transporte
Tránsito Rápido de Autobus",,,IBI Group ha estado trabajando con el municipio de San Pedro Sula en Honduras para crear un plan maestro de desarrollo urbano que ayudará a transformar el área metropolitana en una ciudad inteligente y resiliente. La estrategia estará ligada a una plataforma de ciudad inteligente a fin de reforzar la competitividad de Honduras durante los próximos 25 años.
Waller Creek Properties,"Austin, TX",The Sutton Company and McCourt Partners,"Architecture
BIM / 3D Visualization
High Rise Residential
Hospitality
Hotels &amp; Resorts
Landscape Architecture
Living+
Master Planning
Mixed Use
Office
Parking
Placemaking
Planning &amp; Urban Design
Residential","Size: 3 million+ sq ft
Area: 4.6 acres","Peter Pillman: Director | US Mixed-Use Lead, Buildings","IBI Group played an integral role in designing two million sq ft of adjacent Waller Creek properties in Austin's Rainey District, including Waller Park Place and the redevelopment of Villas on Town Lake. "
King-Victoria Transit Hub,"Waterloo, ON",Regional Municipality of Waterloo,"Architecture
Land Use Planning
Light Rail Transit
Master Planning
Mobility Hub
Mobility+
Multi-Modal Transportation
Planning &amp; Urban Design",,"Ashish Ghate: Director | Sr. Practice Lead, Urban Design / Planning","Located at the gateway to downtown Kitchener, King-Victoria Transit Hub will connect all forms of transit (including rail, bus and rapid transit) in the region to one centralized location. The city is in the process of advancing plans for light rail and expanding intercity rail services so this hub will serve as a crucial focal point for all modes of transportation and future growth. "
Women’s College Hospital,"Toronto, ON","Walsh Canada, Bondfield Construction Company Limited (JV)","Ambulatory Care
Architecture
BIM / 3D Visualization
Healthcare
Healthcare+
Interiors
P3
Research &amp; Development","LEED: Gold
Size: 420,000 sq ft
Storeys: 10
Completed: 2016","David Wood: Associate Director | Practice Lead, Architecture","Lauded as the hospital designed to keep people out of the hospital, Women's College Hospital is an ambulatory, care facility that maximizes future flexibility and prioritizes women-focused services. "
State Route 15 Mid-City BRT Stations,"San Diego, CA","San Diego Association of Governments, City of San Diego","Active Transportation
Bridges, Roads &amp; Highways
Bus Rapid Transit
Economic / Financial Analysis
Engineering
Environmental Assessment
Land Use Planning
Mobility+
Planning &amp; Urban Design
Project / Programme Management
Public Outreach
Research &amp; Development
Transit Facilities
Transportation",Status: Ongoing,"Steve Schibuola: Director | Sr. Principal, Transportation Engineering
Gary Andrishak: Director","The San Diego Region has been undergoing a major, phased upgrade to its regional transit system since the mid-2000's. The SR 15 Mid-City Centerline Rapid Transit Stations includes dedicated, transit-only lanes along the SR 15 freeway, and two freeway-level stations to keep San Diego moving. IBI Group has led the station work from initial concept planning with the community, through preliminary and final design, and now design support during construction. "
